"year","zone","timePeriod","gender","count"
"2009","S01001798","Calendar Year","Male",3
"2009","S01001797","Calendar Year","Male",1
"2009","S01001796","Calendar Year","Male",3
"2009","S01001795","Calendar Year","Male",3
"2009","S01001794","Calendar Year","Male",0
"2009","S01001793","Calendar Year","Male",3
"2009","S01001791","Calendar Year","Male",3
"2009","S01001790","Calendar Year","Male",2
"2009","S01001792","Calendar Year","Male",3
"2009","S01001809","Calendar Year","Male",15
"2009","S01001808","Calendar Year","Male",3
"2009","S01001807","Calendar Year","Male",4
"2010","S01001793","Calendar Year","Male",3
"2010","S01001794","Calendar Year","Male",4
"2010","S01001795","Calendar Year","Male",2
"2010","S01001796","Calendar Year","Male",2
"2010","S01001797","Calendar Year","Male",5
"2010","S01001798","Calendar Year","Male",1
"2010","S01001799","Calendar Year","Male",8
"2010","S01001800","Calendar Year","Male",9
"2010","S01001801","Calendar Year","Male",4
"2010","S01001802","Calendar Year","Male",7
"2010","S01001803","Calendar Year","Male",8
"2010","S01001804","Calendar Year","Male",4
"2010","S01001805","Calendar Year","Male",5
"2010","S01001806","Calendar Year","Male",0
"2010","S01001807","Calendar Year","Male",0
"2010","S01001808","Calendar Year","Male",1
"2010","S01001809","Calendar Year","Male",11
"2010","S01001790","Calendar Year","Male",4
"2010","S01001791","Calendar Year","Male",3
"2010","S01001792","Calendar Year","Male",6
"2011","S01001806","Calendar Year","Male",0
"2011","S01001805","Calendar Year","Male",2
"2011","S01001804","Calendar Year","Male",10
"2011","S01001803","Calendar Year","Male",7
"2011","S01001802","Calendar Year","Male",10
"2011","S01001801","Calendar Year","Male",4
"2011","S01001800","Calendar Year","Male",6
"2011","S01001799","Calendar Year","Male",7
"2011","S01001798","Calendar Year","Male",2
"2011","S01001797","Calendar Year","Male",4
"2011","S01001796","Calendar Year","Male",2
"2011","S01001795","Calendar Year","Male",3
"2011","S01001794","Calendar Year","Male",4
"2011","S01001793","Calendar Year","Male",5
"2011","S01001792","Calendar Year","Male",3
"2011","S01001791","Calendar Year","Male",3
"2011","S01001790","Calendar Year","Male",2
"2011","S01001809","Calendar Year","Male",8
"2011","S01001808","Calendar Year","Male",0
"2011","S01001807","Calendar Year","Male",2
"2012","S01001790","Calendar Year","Male",3
"2012","S01001791","Calendar Year","Male",0
"2012","S01001792","Calendar Year","Male",5
"2012","S01001793","Calendar Year","Male",3
"2012","S01001794","Calendar Year","Male",2
"2012","S01001795","Calendar Year","Male",3
"2012","S01001796","Calendar Year","Male",4
"2012","S01001797","Calendar Year","Male",2
"2012","S01001798","Calendar Year","Male",2
"2012","S01001799","Calendar Year","Male",5
"2012","S01001800","Calendar Year","Male",7
"2012","S01001801","Calendar Year","Male",4
"2012","S01001802","Calendar Year","Male",7
"2012","S01001803","Calendar Year","Male",4
"2012","S01001804","Calendar Year","Male",4
"2012","S01001805","Calendar Year","Male",3
"2012","S01001806","Calendar Year","Male",1
"2012","S01001807","Calendar Year","Male",4
"2012","S01001808","Calendar Year","Male",2
"2012","S01001809","Calendar Year","Male",8
"2013","S01001806","Calendar Year","Male",0
"2013","S01001807","Calendar Year","Male",2
"2013","S01001808","Calendar Year","Male",5
"2013","S01001809","Calendar Year","Male",5
"2013","S01001803","Calendar Year","Male",6
"2013","S01001804","Calendar Year","Male",9
"2013","S01001805","Calendar Year","Male",5
"2013","S01001799","Calendar Year","Male",5
"2013","S01001798","Calendar Year","Male",3
"2013","S01001797","Calendar Year","Male",6
"2013","S01001796","Calendar Year","Male",1
"2013","S01001795","Calendar Year","Male",4
"2013","S01001794","Calendar Year","Male",3
"2013","S01001793","Calendar Year","Male",2
"2013","S01001790","Calendar Year","Male",2
"2013","S01001791","Calendar Year","Male",0
"2013","S01001792","Calendar Year","Male",5
"2013","S01001800","Calendar Year","Male",4
"2013","S01001801","Calendar Year","Male",5
"2013","S01001802","Calendar Year","Male",8
"2003","S01001806","Calendar Year","Male",1
"2003","S01001807","Calendar Year","Male",2
"2003","S01001808","Calendar Year","Male",2
"2003","S01001809","Calendar Year","Male",13
"2003","S01001790","Calendar Year","Male",2
"2003","S01001791","Calendar Year","Male",2
"2003","S01001792","Calendar Year","Male",2
"2003","S01001793","Calendar Year","Male",3
"2003","S01001794","Calendar Year","Male",6
"2003","S01001795","Calendar Year","Male",4
"2003","S01001796","Calendar Year","Male",3
"2003","S01001797","Calendar Year","Male",3
"2003","S01001798","Calendar Year","Male",1
"2003","S01001799","Calendar Year","Male",4
"2003","S01001800","Calendar Year","Male",6
"2003","S01001801","Calendar Year","Male",3
"2003","S01001802","Calendar Year","Male",5
"2003","S01001803","Calendar Year","Male",12
"2003","S01001804","Calendar Year","Male",8
"2003","S01001805","Calendar Year","Male",3
"2002","S01001809","Calendar Year","Male",4
"2002","S01001808","Calendar Year","Male",1
"2002","S01001807","Calendar Year","Male",1
"2002","S01001806","Calendar Year","Male",1
"2002","S01001805","Calendar Year","Male",0
"2002","S01001804","Calendar Year","Male",5
"2002","S01001803","Calendar Year","Male",12
"2002","S01001802","Calendar Year","Male",9
"2002","S01001801","Calendar Year","Male",3
"2002","S01001800","Calendar Year","Male",5
"2002","S01001799","Calendar Year","Male",10
"2002","S01001798","Calendar Year","Male",2
"2002","S01001797","Calendar Year","Male",0
"2002","S01001796","Calendar Year","Male",1
"2002","S01001795","Calendar Year","Male",6
"2002","S01001794","Calendar Year","Male",5
"2002","S01001793","Calendar Year","Male",8
"2002","S01001792","Calendar Year","Male",1
"2002","S01001791","Calendar Year","Male",2
"2002","S01001790","Calendar Year","Male",1
"2001","S01001798","Calendar Year","Male",1
"2001","S01001799","Calendar Year","Male",7
"2001","S01001800","Calendar Year","Male",6
"2001","S01001801","Calendar Year","Male",2
"2001","S01001802","Calendar Year","Male",7
"2001","S01001803","Calendar Year","Male",8
"2001","S01001804","Calendar Year","Male",5
"2001","S01001805","Calendar Year","Male",1
"2001","S01001806","Calendar Year","Male",5
"2001","S01001807","Calendar Year","Male",3
"2001","S01001808","Calendar Year","Male",3
"2001","S01001809","Calendar Year","Male",4
"2001","S01001790","Calendar Year","Male",2
"2001","S01001791","Calendar Year","Male",3
"2001","S01001792","Calendar Year","Male",4
"2001","S01001793","Calendar Year","Male",6
"2001","S01001794","Calendar Year","Male",2
"2001","S01001795","Calendar Year","Male",4
"2001","S01001796","Calendar Year","Male",1
"2001","S01001797","Calendar Year","Male",4
"2010","S01001803","Between Mid Points Of Years","Male",8
"2003","S01001808","Between Mid Points Of Years","Male",1
"2010","S01001804","Between Mid Points Of Years","Male",3
"2002","S01001791","Between Mid Points Of Years","Male",1
"2010","S01001805","Between Mid Points Of Years","Male",5
"2001","S01001796","Between Mid Points Of Years","Male",1
"2003","S01001809","Between Mid Points Of Years","Male",10
"2010","S01001806","Between Mid Points Of Years","Male",2
"2014","S01001790","Between Mid Points Of Years","Male",2
"2010","S01001807","Between Mid Points Of Years","Male",2
"2003","S01001790","Between Mid Points Of Years","Male",1
"2010","S01001808","Between Mid Points Of Years","Male",1
"2002","S01001790","Between Mid Points Of Years","Male",2
"2010","S01001809","Between Mid Points Of Years","Male",15
"2004","S01001809","Between Mid Points Of Years","Male",10
"2003","S01001791","Between Mid Points Of Years","Male",4
"2004","S01001808","Between Mid Points Of Years","Male",4
"2010","S01001790","Between Mid Points Of Years","Male",4
"2004","S01001807","Between Mid Points Of Years","Male",3
"2004","S01001806","Between Mid Points Of Years","Male",3
"2010","S01001791","Between Mid Points Of Years","Male",3
"2004","S01001805","Between Mid Points Of Years","Male",6
"2003","S01001792","Between Mid Points Of Years","Male",1
"2004","S01001804","Between Mid Points Of Years","Male",10
"2001","S01001797","Between Mid Points Of Years","Male",2
"2010","S01001792","Between Mid Points Of Years","Male",5
"2004","S01001803","Between Mid Points Of Years","Male",8
"2014","S01001809","Between Mid Points Of Years","Male",7
"2004","S01001802","Between Mid Points Of Years","Male",8
"2004","S01001801","Between Mid Points Of Years","Male",4
"2011","S01001805","Between Mid Points Of Years","Male",1
"2003","S01001793","Between Mid Points Of Years","Male",4
"2004","S01001800","Between Mid Points Of Years","Male",6
"2004","S01001799","Between Mid Points Of Years","Male",7
"2011","S01001804","Between Mid Points Of Years","Male",9
"2004","S01001798","Between Mid Points Of Years","Male",5
"2001","S01001798","Between Mid Points Of Years","Male",2
"2004","S01001797","Between Mid Points Of Years","Male",1
"2011","S01001803","Between Mid Points Of Years","Male",8
"2003","S01001794","Between Mid Points Of Years","Male",6
"2004","S01001796","Between Mid Points Of Years","Male",2
"2014","S01001808","Between Mid Points Of Years","Male",5
"2004","S01001795","Between Mid Points Of Years","Male",3
"2011","S01001802","Between Mid Points Of Years","Male",8
"2004","S01001794","Between Mid Points Of Years","Male",3
"2004","S01001793","Between Mid Points Of Years","Male",2
"2011","S01001801","Between Mid Points Of Years","Male",4
"2003","S01001795","Between Mid Points Of Years","Male",4
"2004","S01001792","Between Mid Points Of Years","Male",4
"2004","S01001791","Between Mid Points Of Years","Male",2
"2011","S01001800","Between Mid Points Of Years","Male",8
"2001","S01001799","Between Mid Points Of Years","Male",5
"2004","S01001790","Between Mid Points Of Years","Male",3
"2014","S01001807","Between Mid Points Of Years","Male",1
"2005","S01001809","Between Mid Points Of Years","Male",7
"2011","S01001799","Between Mid Points Of Years","Male",10
"2003","S01001796","Between Mid Points Of Years","Male",1
"2005","S01001808","Between Mid Points Of Years","Male",7
"2005","S01001807","Between Mid Points Of Years","Male",3
"2011","S01001798","Between Mid Points Of Years","Male",1
"2005","S01001806","Between Mid Points Of Years","Male",4
"2005","S01001805","Between Mid Points Of Years","Male",2
"2011","S01001797","Between Mid Points Of Years","Male",3
"2003","S01001797","Between Mid Points Of Years","Male",2
"2005","S01001804","Between Mid Points Of Years","Male",9
"2001","S01001800","Between Mid Points Of Years","Male",2
"2005","S01001803","Between Mid Points Of Years","Male",11
"2011","S01001796","Between Mid Points Of Years","Male",2
"2014","S01001806","Between Mid Points Of Years","Male",5
"2005","S01001802","Between Mid Points Of Years","Male",8
"2005","S01001801","Between Mid Points Of Years","Male",1
"2011","S01001795","Between Mid Points Of Years","Male",2
"2003","S01001798","Between Mid Points Of Years","Male",2
"2005","S01001800","Between Mid Points Of Years","Male",3
"2005","S01001799","Between Mid Points Of Years","Male",7
"2011","S01001794","Between Mid Points Of Years","Male",2
"2005","S01001798","Between Mid Points Of Years","Male",2
"2001","S01001801","Between Mid Points Of Years","Male",3
"2005","S01001797","Between Mid Points Of Years","Male",2
"2011","S01001793","Between Mid Points Of Years","Male",6
"2003","S01001799","Between Mid Points Of Years","Male",9
"2005","S01001796","Between Mid Points Of Years","Male",0
"2014","S01001805","Between Mid Points Of Years","Male",4
"2005","S01001795","Between Mid Points Of Years","Male",3
"2011","S01001792","Between Mid Points Of Years","Male",5
"2005","S01001794","Between Mid Points Of Years","Male",3
"2005","S01001793","Between Mid Points Of Years","Male",9
"2011","S01001791","Between Mid Points Of Years","Male",4
"2003","S01001800","Between Mid Points Of Years","Male",6
"2005","S01001790","Between Mid Points Of Years","Male",3
"2011","S01001790","Between Mid Points Of Years","Male",1
"2001","S01001802","Between Mid Points Of Years","Male",9
"2005","S01001791","Between Mid Points Of Years","Male",3
"2005","S01001792","Between Mid Points Of Years","Male",6
"2014","S01001804","Between Mid Points Of Years","Male",7
"2006","S01001809","Between Mid Points Of Years","Male",7
"2011","S01001809","Between Mid Points Of Years","Male",11
"2003","S01001801","Between Mid Points Of Years","Male",3
"2006","S01001808","Between Mid Points Of Years","Male",3
"2006","S01001807","Between Mid Points Of Years","Male",3
"2011","S01001808","Between Mid Points Of Years","Male",1
"2006","S01001806","Between Mid Points Of Years","Male",3
"2006","S01001805","Between Mid Points Of Years","Male",3
"2011","S01001807","Between Mid Points Of Years","Male",0
"2003","S01001802","Between Mid Points Of Years","Male",6
"2006","S01001804","Between Mid Points Of Years","Male",8
"2001","S01001803","Between Mid Points Of Years","Male",5
"2006","S01001803","Between Mid Points Of Years","Male",9
"2011","S01001806","Between Mid Points Of Years","Male",0
"2014","S01001803","Between Mid Points Of Years","Male",10
"2006","S01001802","Between Mid Points Of Years","Male",8
"2006","S01001801","Between Mid Points Of Years","Male",1
"2012","S01001790","Between Mid Points Of Years","Male",4
"2003","S01001803","Between Mid Points Of Years","Male",14
"2006","S01001800","Between Mid Points Of Years","Male",5
"2006","S01001799","Between Mid Points Of Years","Male",5
"2012","S01001791","Between Mid Points Of Years","Male",1
"2006","S01001798","Between Mid Points Of Years","Male",2
"2001","S01001804","Between Mid Points Of Years","Male",9
"2006","S01001797","Between Mid Points Of Years","Male",3
"2012","S01001792","Between Mid Points Of Years","Male",5
"2003","S01001804","Between Mid Points Of Years","Male",5
"2006","S01001796","Between Mid Points Of Years","Male",1
"2014","S01001802","Between Mid Points Of Years","Male",4
"2006","S01001795","Between Mid Points Of Years","Male",4
"2012","S01001793","Between Mid Points Of Years","Male",4
"2006","S01001794","Between Mid Points Of Years","Male",6
